TOT_OA_CD,lat,lon,is_island
23010630020002,37.46511540371647,126.36518018653412,False
23510320010009,37.686927955730155,126.45772154414054,False
23510320010006,37.68970885295763,126.49180120127038,False
23510320010003,37.686053917376015,126.51018688537454,False
23510320010010,37.68546282144634,126.48565810131515,False
23510330010011,37.5923204958715,126.51334200333847,False
23510340010008,37.635875991629256,126.43168879092853,False
23510340010010,37.609640827026006,126.42320933902539,False
23510340010002,37.62459369196064,126.38214493592267,False
23510340010007,37.634921686735325,126.41902787153317,False
23510340010004,37.6025027759181,126.40578487064289,False
23510340010003,37.60119250846221,126.4537986823016,False
23510340010006,37.639518805412656,126.4037297372327,False
23510350010005,37.7004301597761,126.42217447415358,False
23510350010008,37.68820927357887,126.40408269756212,False
23510350010002,37.65276048929225,126.4226567904911,False
23510350010004,37.687796917449795,126.42240708984879,False
23510350010003,37.668482366490785,126.44022639565286,False
23510350010006,37.66687522150999,126.42355598230725,False
23510360010005,37.72892457896158,126.3782836012204,False
23510360010004,37.70728287189921,126.37821364443283,False
23510360010001,37.71385363565041,126.38930585661207,False
23510360010006,37.714939531699834,126.41418350967147,False
23510360010003,37.73185496647262,126.41572537808185,False
23510360010002,37.723019037551964,126.36192824713024,False
23510370010005,37.75238394502146,126.37100848897407,False
23510370010007,37.751491350816174,126.39913940699311,False
23510370010002,37.75524326715579,126.42123105042701,False
23510370010001,37.77630539450117,126.41196440792602,False
23510370010006,37.778776449113785,126.4289148496489,False
23510380010004,37.81567778468832,126.4256999940612,False
23510380010001,37.80215654150474,126.41880414413276,False
23510380010003,37.78750053610463,126.37067689027374,False
23510380010002,37.799210590577836,126.39617316946986,False
23510390010005,37.79486411002543,126.46751300439394,False
23510390010004,37.78932200382454,126.45252114694104,False
23510390010007,37.796475596318544,126.44120076967732,False
23510400010006,37.7947642408896,126.28839762607751,True
23510400010004,37.78346547516198,126.2897618864643,True
23510400010001,37.80237918041774,126.25522255369981,True
23510410010005,37.681373259247806,126.33606815968791,False
23510410010006,37.691798817492376,126.34231142959071,False
23510410010001,37.71995256744318,126.30400704703582,False
23520310010002,37.53374088024264,126.35787433907679,False
23520320010002,37.662145287407256,125.70404796487115,True
23520320010009,37.668760495521695,125.70356339237875,True
23520320010006,37.66226173358113,125.70198013631523,True
23520330010006,37.935552801436806,124.66602853210759,True
23520330010004,37.961814197200255,124.63323629409119,True
23520340010008,37.81966780302187,124.71013949256071,True
23520340010004,37.82079874104893,124.69076164388484,True
23520340010006,37.83934905405528,124.70670438962269,True
23520350010062,37.224268342663855,126.14463901977722,True
23520310020005,37.53489284094073,126.42195149953307,False
23520350010078,37.02893224555915,125.9950732281544,True
23520350020004,37.2135875850761,126.17437249202939,True
23520360020025,37.142994142828286,126.19792779330243,True
